OurAirports_name,icao,iata,countryLabel,lat,lon,filename
Seattle__acoma International Airport,KSEA,SEA,United States,47.448889,-122.309444,mapbox_47.448889_-122.309444_1209.png
Southwest Florida International Airport,KRSW,RSW,United States,26.53611111,-81.75527778,mapbox_26.53611111_-81.75527778_1211.png
St. Louis Lambert International Airport,KSTL,STL,United States,38.74722222,-90.36138889,mapbox_38.74722222_-90.36138889_1213.png
St. Petersburg Clearwater International Airport,KPIE,PIE,United States,27.91,-82.6875,mapbox_27.91_-82.6875_1214.png
Syracuse Hancock International Airport,KSYR,SYR,United States,43.11111111,-76.10638889,mapbox_43.11111111_-76.10638889_1216.png
Tampa International Airport,KTPA,TPA,United States,27.9798184,-82.534845,mapbox_27.9798184_-82.534845_1218.png
Ted Stevens Anchorage International Airport,PANC,ANC,United States,61.1742,-149.998,mapbox_61.1742_-149.998_1219.png
Tinian International Airport,PGWT,TIQ,United States,14.99916667,145.6194444,mapbox_14.99916667_145.6194444_1221.png
Tucson International Airport,KTUS,TUS,United States,32.1153,-110.931,mapbox_32.1153_-110.931_1224.png
Tulsa International Airport,KTUL,TUL,United States,36.19833333,-95.88805556,mapbox_36.19833333_-95.88805556_1225.png
Washington Dulles International Airport,KIAD,IAD,United States,38.944444,-77.455833,mapbox_38.944444_-77.455833_1228.png
Carrasco General Cesáreo L. Berisso International Airport,SUMU,MVD,Uruguay,-34.83833333,-56.03083333,mapbox_-34.83833333_-56.03083333_1237.png
Navoi International Airport,UTSA,NVI,Uzbekistan,40.11777778,65.175,mapbox_40.11777778_65.175_1243.png
Tashkent International Airport,UZTT,TAS,Uzbekistan,41.25786111,69.28118611,mapbox_41.25786111_69.28118611_1245.png
Urgench International Airport,UTNU,UGC,Uzbekistan,41.58416667,60.64166667,mapbox_41.58416667_60.64166667_1246.png
Bauerfield International Airport,NVVV,VLI,Vanuatu,-17.699167,168.319722,mapbox_-17.699167_168.319722_1247.png
Arturo Michelena International Airport,SVVA,VLN,Venezuela,10.14972222,-67.92833333,mapbox_10.14972222_-67.92833333_1249.png
General José Antonio Anzoategui International Airport,SVBC,BLA,Venezuela,10.10722222,-64.68916667,mapbox_10.10722222_-64.68916667_1250.png
Jacinto Lara International Airport,SVBM,BRM,Venezuela,10.04277778,-69.35861111,mapbox_10.04277778_-69.35861111_1252.png
La Chinita International Airport,SVMC,MAR,Venezuela,10.55805556,-71.72777778,mapbox_10.55805556_-71.72777778_1255.png
Del Caribe Santiago Mariño International Airport,SVMG,PMV,Venezuela,10.91305556,-63.9675,mapbox_10.91305556_-63.9675_1256.png
Maiquetía Simón Bolívar International Airport,SVMI,CCS,Venezuela,10.60311667,-66.99058333,mapbox_10.60311667_-66.99058333_1257.png
